"days","eth"
"1","772.640991"
"2","884.44397"
"3","962.719971"
"4","980.921997"
"5","997.719971"
"6","1041.680054"
"7","1153.170044"
"8","1148.530029"
"9","1299.73999"
"10","1255.819946"
"11","1154.930054"
"12","1273.199951"
"13","1396.420044"
"14","1366.77002"
"15","1291.920044"
"16","1053.689941"
"17","1014.25"
"18","1036.280029"
"19","1039.099976"
"20","1155.150024"
"21","1049.579956"
"22","1003.26001"
"23","986.229004"
"24","1058.780029"
"25","1056.030029"
"26","1055.170044"
"27","1107.069946"
"28","1246.01001"
"29","1182.359985"
"30","1071.130005"
"31","1118.310059"
"32","1036.790039"
"33","915.784973"
"34","964.018982"
"35","834.682007"
"36","697.950989"
"37","793.122009"
"38","757.067993"
"39","817.807007"
"40","883.86499"
"41","860.414978"
"42","814.659973"
"43","868.70697"
"44","845.257996"
"45","923.560974"
"46","936.976013"
"47","944.210022"
"48","974.11499"
"49","923.921021"
"50","943.86499"
"51","895.370972"
"52","849.971008"
"53","812.844971"
"54","864.189026"
"55","840.515015"
"56","844.809998"
"57","869.315002"
"58","878.265015"
"59","855.198975"
"60","872.200012"
"61","856.853027"
"62","857.224976"
"63","866.677979"
"64","853.684021"
"65","816.950989"
"66","752.830994"
"67","704.596008"
"68","728.916016"
"69","686.890015"
"70","723.338989"
"71","699.830994"
"72","690.827026"
"73","614.291016"
"74","611.304016"
"75","601.666016"
"76","552.778992"
"77","538.643982"
"78","556.726013"
"79","557.174988"
"80","561.731995"
"81","539.702026"
"82","539.619019"
"83","526.439026"
"84","524.286987"
"85","489.950989"
"86","450.115997"
"87","446.278992"
"88","385.967987"
"89","394.644989"
"90","396.457001"
"91","379.606995"
"92","386.424988"
"93","416.893005"
"94","380.542999"
"95","383.231995"
"96","370.285004"
"97","385.313995"
"98","400.507996"
"99","398.526001"
"100","414.243011"
"101","430.540009"
"102","492.94101"
"103","492.734985"
"104","501.477997"
"105","531.702026"
"106","511.147003"
"107","502.894012"
"108","524.789001"
"109","567.888977"
"110","615.718018"
"111","605.39502"
"112","621.859985"
"113","642.547974"
"114","708.15802"
"115","615.416016"
"116","662.809021"
"117","647.031982"
"118","683.677979"
"119","688.880981"
"120","669.924011"
"121","673.612976"
"122","687.148987"
"123","779.54303"
"124","785.624023"
"125","816.119995"
"126","792.310974"
"127","753.724976"
"128","752.856995"
"129","752.275024"
"130","727.276978"
"131","679.585999"
"132","686.047974"
"133","733.495972"
"134","730.549011"
"135","708.870972"
"136","707.049988"
"137","672.656982"
"138","694.367004"
"139","696.530029"
"140","715.369019"
"141","699.221985"
"142","647.741028"
"143","583.585022"
"144","601.755005"
"145","586.734009"
"146","587.280029"
"147","572.66803"
"148","516.036011"
"149","565.388"
"150","559.590027"
"151","577.64502"
"152","580.04303"
"153","591.807983"
"154","618.328979"
"155","592.984985"
"156","609.302979"
"157","607.124023"
"158","605.187012"
"159","601.077026"
"160","597.562012"
"161","526.479004"
"162","533.283997"
"163","496.842987"
"164","477.493988"
"165","519.742004"
"166","491.003998"
"167","499.641998"
"168","500.447998"
"169","518.890991"
"170","537.95697"
"171","536.268005"
"172","527.367004"
"173","465.816986"
"174","474.519989"
"175","457.671997"
"176","460.309998"
"177","432.772003"
"178","442.36499"
"179","422.36499"
"180","436.009003"
"181","455.179993"
"182","453.917999"
"183","475.346985"
"184","464.195007"
"185","467.317993"
"186","474.411987"
"187","474.011993"
"188","491.660004"
"189","489.118988"
"190","476.682007"
"191","434.424011"
"192","446.518005"
"193","430.074005"
"194","434.027008"
"195","436.085999"
"196","449.850006"
"197","480.65799"
"198","501.002014"
"199","480.513"
"200","469.618988"
"201","450.697998"
"202","462.436005"
"203","459.657013"
"204","450.852997"
"205","479.372986"
"206","472.493011"
"207","464.036987"
"208","469.665985"
"209","466.89801"
"210","466.665009"
"211","457.080994"
"212","433.867004"
"213","420.747009"
"214","412.621002"
"215","418.261993"
"216","407.252014"
"217","410.515991"
"218","406.65799"
"219","380.214996"
"220","356.613007"
"221","365.588013"
"222","334.175995"
"223","322.112"
"224","319.570007"
"225","286.494995"
"226","278.932007"
"227","282.364014"
"228","288.04599"
"229","315.729004"
"230","295.812012"
